row,item_id,image_path,question,label
0,4934f4e3d776,/kaggle/working/evid6/images/S5_main_4934f4e3d776.jpg,What colour is the umbrella?,
1,5a69a1340bff,/kaggle/working/evid6/images/S4_main_5a69a1340bff.jpg,What colour is the person?,
2,e0ae0485fd68,/kaggle/working/evid6/images/S5_main_e0ae0485fd68.jpg,What colour is the backpack?,
3,15fac525c3ce,/kaggle/working/evid6/images/S2_main_15fac525c3ce.jpg,What is the skateboard made of?,
4,95685c5b889c,/kaggle/working/evid6/images/S4_main_95685c5b889c.jpg,What colour is the person?,
5,1371195b67b8,/kaggle/working/evid6/images/S4_main_1371195b67b8.jpg,What colour is the person?,
6,84d4de77fa2f,/kaggle/working/evid6/images/S4_main_84d4de77fa2f.jpg,What colour is the person?,
7,e7ef031a2ae8,/kaggle/working/evid6/images/S2_main_e7ef031a2ae8.jpg,What colour is the potted plant?,
8,d075c6628917,/kaggle/working/evid6/images/S5_main_d075c6628917.jpg,What colour is the knife?,
9,145042e6165c,/kaggle/working/evid6/images/S4_main_145042e6165c.jpg,What colour is the suitcase?,
10,af3b2fb47a58,/kaggle/working/evid6/images/S0_main_af3b2fb47a58.jpg,What is the refrigerator made of?,
11,5a39deeb817b,/kaggle/working/evid6/images/S5_main_5a39deeb817b.jpg,What is the giraffe made of?,
12,0b90d792b1f1,/kaggle/working/evid6/images/S3_main_0b90d792b1f1.jpg,What colour is the pizza?,
13,074d49963d77,/kaggle/working/evid6/images/S0_main_074d49963d77.jpg,What colour is the giraffe?,
14,b9395a50cb80,/kaggle/working/evid6/images/S0_main_b9395a50cb80.jpg,What colour is the train?,
15,cecd23650fec,/kaggle/working/evid6/images/S0_main_cecd23650fec.jpg,What is the bird doing?,
16,1508a65c4c3f,/kaggle/working/evid6/images/S5_main_1508a65c4c3f.jpg,What colour is the cat?,
17,ecaa77d4b536,/kaggle/working/evid6/images/S5_main_ecaa77d4b536.jpg,What colour is the knife?,
18,14a2572c1bc6,/kaggle/working/evid6/images/S4_main_14a2572c1bc6.jpg,What colour is the person?,
19,d7ba6a8ed010,/kaggle/working/evid6/images/S1_main_d7ba6a8ed010.jpg,What is the horse doing?,
20,572076600250,/kaggle/working/evid6/images/S3_main_572076600250.jpg,What colour is the motorcycle?,
21,8f7c576ed35d,/kaggle/working/evid6/images/S5_main_8f7c576ed35d.jpg,What is the cake made of?,
22,effa001f6745,/kaggle/working/evid6/images/S1_main_effa001f6745.jpg,What is the car made of?,
